LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
FRA;OILPROD;TOT;KTOE;A;1975;1027.804;
FRA;OILPROD;TOT;KTOE;A;1976;1056.798;
FRA;OILPROD;TOT;KTOE;A;1977;1036.802;
FRA;OILPROD;TOT;KTOE;A;1978;1116.787;
FRA;OILPROD;TOT;KTOE;A;1979;1196.771;
FRA;OILPROD;TOT;KTOE;A;1980;1414.73;
FRA;OILPROD;TOT;KTOE;A;1981;1675.68;
FRA;OILPROD;TOT;KTOE;A;1982;1645.685;
FRA;OILPROD;TOT;KTOE;A;1983;1660.683;
FRA;OILPROD;TOT;KTOE;A;1984;2064.605;
FRA;OILPROD;TOT;KTOE;A;1985;2641.495;
FRA;OILPROD;TOT;KTOE;A;1986;2941.438;
FRA;OILPROD;TOT;KTOE;A;1987;3235.382;
FRA;OILPROD;TOT;KTOE;A;1988;3354.359;
FRA;OILPROD;TOT;KTOE;A;1989;3243.38;
FRA;OILPROD;TOT;KTOE;A;1990;3023.422;
FRA;OILPROD;TOT;KTOE;A;1991;2951.436;
FRA;OILPROD;TOT;KTOE;A;1992;2865.452;
FRA;OILPROD;TOT;KTOE;A;1993;2751.474;
FRA;OILPROD;TOT;KTOE;A;1994;2768.471;
FRA;OILPROD;TOT;KTOE;A;1995;2502.522;
FRA;OILPROD;TOT;KTOE;A;1996;2106.597;
FRA;OILPROD;TOT;KTOE;A;1997;1779.66;
FRA;OILPROD;TOT;KTOE;A;1998;1708.673;
FRA;OILPROD;TOT;KTOE;A;1999;1538.706;
FRA;OILPROD;TOT;KTOE;A;2000;1416.729;
FRA;OILPROD;TOT;KTOE;A;2001;1381.736;
FRA;OILPROD;TOT;KTOE;A;2002;1316.591;
FRA;OILPROD;TOT;KTOE;A;2003;1245.582;
FRA;OILPROD;TOT;KTOE;A;2004;1162.816;
FRA;OILPROD;TOT;KTOE;A;2005;1102.529;
FRA;OILPROD;TOT;KTOE;A;2006;1078.006;
FRA;OILPROD;TOT;KTOE;A;2007;995.24;
FRA;OILPROD;TOT;KTOE;A;2008;996.261;
FRA;OILPROD;TOT;KTOE;A;2009;918.604;
FRA;OILPROD;TOT;KTOE;A;2010;915.539;
FRA;OILPROD;TOT;KTOE;A;2011;914.517;
FRA;OILPROD;TOT;KTOE;A;2012;824.598;
FRA;OILPROD;TOT;KTOE;A;2013;810.293;
FRA;OILPROD;TOT;KTOE;A;2014;782.704;
FRA;OILPROD;TOT;KTOE;A;2015;853.209;
FRA;OILPROD;TOT;KTOE;A;2016;832.772;
FRA;OILPROD;TOT;KTOE;A;2017;773.508;
